AÑO;NUI;Región;Trimestre;Mes;Categoría;Función;Género;Ocupados;CLASE_INDUSTRIA_II;EXPLICACIÓN_CLASE_INDUSTRIA
2006;22736;10;2;abril;CONTRATO;Directivos;hombres;8;DERIVADOS DE ALGAS;
2006;22736;10;1;enero;CONTRATO;Productivos_directos;hombres;48;DERIVADOS DE ALGAS;
2006;22736;10;1;enero;CONTRATO;Productivos_indirectos;hombres;23;DERIVADOS DE ALGAS;
2006;22736;10;1;enero;CONTRATO;Administrativos;hombres;16;DERIVADOS DE ALGAS;
2006;22736;10;1;enero;CONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;1;enero;SUBCONTRATO;Productivos_directos;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;1;enero;SUBCONTRATO;Productivos_indirectos;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;1;enero;CONTRATO;Directivos;hombres;9;DERIVADOS DE ALGAS;
2006;22736;10;1;enero;SUBCONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;2;abril;CONTRATO;Administrativos;hombres;16;DERIVADOS DE ALGAS;
2006;22736;10;2;abril;CONTRATO;Productivos_directos;hombres;47;DERIVADOS DE ALGAS;
2006;22736;10;2;abril;CONTRATO;Productivos_indirectos;hombres;25;DERIVADOS DE ALGAS;
2006;22736;10;2;abril;CONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;2;abril;SUBCONTRATO;Productivos_indirectos;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;2;abril;SUBCONTRATO;Administrativos;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;2;abril;SUBCONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;1;enero;SUBCONTRATO;Administrativos;hombres;0;DERIVADOS DE ALGAS;
2006;22736;10;2;abril;SUBCONTRATO;Productivos_directos;hombres;0;DERIVADOS DE ALGAS;
2006;11199;10;1;enero;SUBCONTRATO;Administrativos;hombres;0;DERIVADOS DE ALGAS;
2006;11199;10;1;enero;CONTRATO;Productivos_directos;hombres;74;DERIVADOS DE ALGAS;
2006;11199;10;1;enero;CONTRATO;Productivos_indirectos;hombres;37;DERIVADOS DE ALGAS;
2006;11199;10;1;enero;CONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;11199;10;2;abril;CONTRATO;Productivos_indirectos;hombres;37;DERIVADOS DE ALGAS;
2006;11199;10;2;abril;SUBCONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;11199;10;2;abril;SUBCONTRATO;Administrativos;hombres;0;DERIVADOS DE ALGAS;
2006;11199;10;2;abril;SUBCONTRATO;Productivos_indirectos;hombres;2;DERIVADOS DE ALGAS;
2006;11199;10;1;enero;CONTRATO;Directivos;hombres;4;DERIVADOS DE ALGAS;
2006;11199;10;1;enero;SUBCONTRATO;Productivos_indirectos;hombres;2;DERIVADOS DE ALGAS;
2006;11199;10;1;enero;CONTRATO;Administrativos;hombres;12;DERIVADOS DE ALGAS;
2006;11199;10;1;enero;SUBCONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;11199;10;2;abril;CONTRATO;Directivos;hombres;4;DERIVADOS DE ALGAS;
2006;11199;10;2;abril;CONTRATO;Productivos_directos;hombres;74;DERIVADOS DE ALGAS;
2006;11199;10;2;abril;SUBCONTRATO;Productivos_directos;hombres;3;DERIVADOS DE ALGAS;
2006;11199;10;2;abril;CONTRATO;Flota;hombres;0;DERIVADOS DE ALGAS;
2006;11199;10;2;abril;CONTRATO;Administrativos;hombres;12;DERIVADOS DE ALGAS;
2006;11199;10;1;enero;SUBCONTRATO;Productivos_directos;hombres;2;DERIVADOS DE ALGAS;
2006;16086;10;1;enero;CONTRATO;Productivos_directos;hombres;5;HUMANO;
2006;16086;10;1;enero;CONTRATO;Administrativos;hombres;0;HUMANO;
2006;16086;10;1;enero;CONTRATO;Flota;hombres;0;HUMANO;
2006;16086;10;1;enero;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;16086;10;1;enero;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;16086;10;1;enero;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;16086;10;1;enero;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;16086;10;2;abril;CONTRATO;Directivos;hombres;0;HUMANO;
2006;16086;10;2;abril;CONTRATO;Productivos_directos;hombres;5;HUMANO;
2006;16086;10;2;abril;CONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;16086;10;2;abril;CONTRATO;Administrativos;hombres;0;HUMANO;
2006;16086;10;2;abril;CONTRATO;Flota;hombres;0;HUMANO;
2006;16086;10;1;enero;CONTRATO;Directivos;hombres;0;HUMANO;
2006;16086;10;1;enero;CONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;16086;10;2;abril;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;16086;10;2;abril;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;16086;10;2;abril;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;16086;10;2;abril;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;27944;10;1;enero;CONTRATO;Productivos_indirectos;hombres;5;HUMANO;
2006;27944;10;1;enero;CONTRATO;Administrativos;hombres;2;HUMANO;
2006;27944;10;1;enero;CONTRATO;Flota;hombres;0;HUMANO;
2006;27944;10;1;enero;CONTRATO;Directivos;hombres;5;HUMANO;
2006;27944;10;2;abril;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;27944;10;2;abril;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;27944;10;1;enero;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;27944;10;2;abril;CONTRATO;Productivos_indirectos;hombres;5;HUMANO;
2006;27944;10;2;abril;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;27944;10;1;enero;SUBCONTRATO;Administrativos;hombres;0;HUMANO;
2006;27944;10;1;enero;SUBCONTRATO;Flota;hombres;0;HUMANO;
2006;27944;10;2;abril;SUBCONTRATO;Productivos_indirectos;hombres;0;HUMANO;
2006;27944;10;2;abril;CONTRATO;Flota;hombres;0;HUMANO;
2006;27944;10;1;enero;CONTRATO;Productivos_directos;hombres;220;HUMANO;
2006;27944;10;2;abril;CONTRATO;Administrativos;hombres;2;HUMANO;
2006;27944;10;2;abril;CONTRATO;Directivos;hombres;5;HUMANO;
2006;27944;10;2;abril;CONTRATO;Productivos_directos;hombres;220;HUMANO;
2006;27944;10;1;enero;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
2006;21714;1;1;enero;SUBCONTRATO;Productivos_indirectos;hombres;3;HUMANO;
2006;21714;1;1;enero;CONTRATO;Directivos;hombres;2;HUMANO;
2006;21714;1;2;abril;CONTRATO;Productivos_indirectos;hombres;2;HUMANO;
2006;21714;1;1;enero;CONTRATO;Flota;hombres;0;HUMANO;
2006;21714;1;1;enero;CONTRATO;Productivos_directos;hombres;9;HUMANO;
2006;21714;1;2;abril;SUBCONTRATO;Productivos_directos;hombres;0;HUMANO;
